median house value,median income,housing median age,total rooms,total bedrooms,population,households,latitude,longitude
4.5260000000000000e+005,8.3252000000000006e+000,4.1000000000000000e+001,8.8000000000000000e+002,1.2900000000000000e+002,3.2200000000000000e+002,1.2600000000000000e+002,3.7880000000000003e+001,-1.2223000000000000e+002
3.5850000000000000e+005,8.3013999999999992e+000,2.1000000000000000e+001,7.0990000000000000e+003,1.1060000000000000e+003,2.4010000000000000e+003,1.1380000000000000e+003,3.7859999999999999e+001,-1.2222000000000000e+002
3.5210000000000000e+005,7.2573999999999996e+000,5.2000000000000000e+001,1.4670000000000000e+003,1.9000000000000000e+002,4.9600000000000000e+002,1.7700000000000000e+002,3.7850000000000001e+001,-1.2223999999999999e+002
3.4130000000000000e+005,5.6430999999999996e+000,5.2000000000000000e+001,1.2740000000000000e+003,2.3500000000000000e+002,5.5800000000000000e+002,2.1900000000000000e+002,3.7850000000000001e+001,-1.2225000000000000e+002
3.4220000000000000e+005,3.8462000000000001e+000,5.2000000000000000e+001,1.6270000000000000e+003,2.8000000000000000e+002,5.6500000000000000e+002,2.5900000000000000e+002,3.7850000000000001e+001,-1.2225000000000000e+002
2.6970000000000000e+005,4.0368000000000004e+000,5.2000000000000000e+001,9.1900000000000000e+002,2.1300000000000000e+002,4.1300000000000000e+002,1.9300000000000000e+002,3.7850000000000001e+001,-1.2225000000000000e+002
2.9920000000000000e+005,3.6591000000000000e+000,5.2000000000000000e+001,2.5350000000000000e+003,4.8900000000000000e+002,1.0940000000000000e+003,5.1400000000000000e+002,3.7840000000000003e+001,-1.2225000000000000e+002
2.4140000000000000e+005,3.1200000000000001e+000,5.2000000000000000e+001,3.1040000000000000e+003,6.8700000000000000e+002,1.1570000000000000e+003,6.4700000000000000e+002,3.7840000000000003e+001,-1.2225000000000000e+002
2.2670000000000000e+005,2.0804000000000000e+000,4.2000000000000000e+001,2.5550000000000000e+003,6.6500000000000000e+002,1.2060000000000000e+003,5.9500000000000000e+002,3.7840000000000003e+001,-1.2226000000000001e+002
2.6110000000000000e+005,3.6911999999999998e+000,5.2000000000000000e+001,3.5490000000000000e+003,7.0700000000000000e+002,1.5510000000000000e+003,7.1400000000000000e+002,3.7840000000000003e+001,-1.2225000000000000e+002
2.8150000000000000e+005,3.2031000000000001e+000,5.2000000000000000e+001,2.2020000000000000e+003,4.3400000000000000e+002,9.1000000000000000e+002,4.0200000000000000e+002,3.7850000000000001e+001,-1.2226000000000001e+002
2.4180000000000000e+005,3.2705000000000002e+000,5.2000000000000000e+001,3.5030000000000000e+003,7.5200000000000000e+002,1.5040000000000000e+003,7.3400000000000000e+002,3.7850000000000001e+001,-1.2226000000000001e+002
2.1350000000000000e+005,3.0750000000000002e+000,5.2000000000000000e+001,2.4910000000000000e+003,4.7400000000000000e+002,1.0980000000000000e+003,4.6800000000000000e+002,3.7850000000000001e+001,-1.2226000000000001e+002
1.9130000000000000e+005,2.6736000000000000e+000,5.2000000000000000e+001,6.9600000000000000e+002,1.9100000000000000e+002,3.4500000000000000e+002,1.7400000000000000e+002,3.7840000000000003e+001,-1.2226000000000001e+002
1.5920000000000000e+005,1.9167000000000001e+000,5.2000000000000000e+001,2.6430000000000000e+003,6.2600000000000000e+002,1.2120000000000000e+003,6.2000000000000000e+002,3.7850000000000001e+001,-1.2226000000000001e+002
1.4000000000000000e+005,2.1250000000000000e+000,5.0000000000000000e+001,1.1200000000000000e+003,2.8300000000000000e+002,6.9700000000000000e+002,2.6400000000000000e+002,3.7850000000000001e+001,-1.2226000000000001e+002
1.5250000000000000e+005,2.7749999999999999e+000,5.2000000000000000e+001,1.9660000000000000e+003,3.4700000000000000e+002,7.9300000000000000e+002,3.3100000000000000e+002,3.7850000000000001e+001,-1.2227000000000000e+002
